"filename", "language", "Vue", "PHP", "comment", "blank", "total"
"c:\laragon\www\dubss_mesa_taller\app\Http\Controllers\Admin\AdminReportesController.php", "PHP", 0, -98, -23, -30, -151
"c:\laragon\www\dubss_mesa_taller\app\Http\Controllers\Admin\AdminResultadosController.php", "PHP", 0, -123, -41, -30, -194
"c:\laragon\www\dubss_mesa_taller\app\Http\Controllers\Admin\BecaController.php", "PHP", 0, -88, 0, -15, -103
"c:\laragon\www\dubss_mesa_taller\app\Http\Controllers\Admin\ConvocatoriaController.php", "PHP", 0, -134, -25, -35, -194
"c:\laragon\www\dubss_mesa_taller\app\Http\Controllers\Admin\LugarProcedenciaController.php", "PHP", 0, -86, -18, -19, -123
"c:\laragon\www\dubss_mesa_taller\app\Http\Controllers\Admin\RangoIngresoEconomicoController.php", "PHP", 0, -61, 0, -14, -75
"c:\laragon\www\dubss_mesa_taller\app\Http\Controllers\Admin\RequisitoController.php", "PHP", 0, -91, -1, -15, -107
"c:\laragon\www\dubss_mesa_taller\app\Http\Controllers\Admin\RespuestaFormularioController.php", "PHP", 0, -279, -34, -46, -359
"c:\laragon\www\dubss_mesa_taller\app\Http\Controllers\Admin\TipoDependenciaController.php", "PHP", 0, -32, -3, -10, -45
"c:\laragon\www\dubss_mesa_taller\app\Http\Controllers\Admin\TipoDependenciaEconomicaController.php", "PHP", 0, -51, 0, -13, -64
"c:\laragon\www\dubss_mesa_taller\app\Http\Controllers\Admin\TipoOcupacionDependienteController.php", "PHP", 0, -87, -18, -19, -124
"c:\laragon\www\dubss_mesa_taller\app\Http\Controllers\Admin\TipoTenenciaViviendaController.php", "PHP", 0, -62, -6, -15, -83
"c:\laragon\www\dubss_mesa_taller\app\Http\Controllers\Api\AuthController.php", "PHP", 0, -52, -55, -12, -119
"c:\laragon\www\dubss_mesa_taller\app\Http\Controllers\Api\BecaController.php", "PHP", 0, -114, -22, -16, -152
"c:\laragon\www\dubss_mesa_taller\app\Http\Controllers\Api\ConvocatoriaController.php", "PHP", 0, -94, -18, -15, -127
"c:\laragon\www\dubss_mesa_taller\app\Http\Controllers\Api\FormularioSocioeconomicoController.php", "PHP", 0, -233, -40, -31, -304
"c:\laragon\www\dubss_mesa_taller\app\Http\Controllers\Api\NotificacionController.php", "PHP", 0, -115, -29, -25, -169
"c:\laragon\www\dubss_mesa_taller\app\Http\Controllers\Api\PostulacionController.php", "PHP", 0, -199, -28, -29, -256
"c:\laragon\www\dubss_mesa_taller\app\Http\Controllers\Api\TramiteController.php", "PHP", 0, -173, -16, -14, -203
"c:\laragon\www\dubss_mesa_taller\app\Http\Controllers\Auth\AuthenticatedSessionController.php", "PHP", 0, -33, -9, -11, -53
"c:\laragon\www\dubss_mesa_taller\app\Http\Controllers\Auth\ConfirmablePasswordController.php", "PHP", 0, -29, -6, -7, -42
"c:\laragon\www\dubss_mesa_taller\app\Http\Controllers\Auth\EmailVerificationNotificationController.php", "PHP", 0, -16, -3, -6, -25
"c:\laragon\www\dubss_mesa_taller\app\Http\Controllers\Auth\EmailVerificationPromptController.php", "PHP", 0, -16, -3, -4, -23
"c:\laragon\www\dubss_mesa_taller\app\Http\Controllers\Auth\NewPasswordController.php", "PHP", 0, -47, -14, -9, -70
"c:\laragon\www\dubss_mesa_taller\app\Http\Controllers\Auth\PasswordController.php", "PHP", 0, -21, -3, -6, -30
"c:\laragon\www\dubss_mesa_taller\app\Http\Controllers\Auth\PasswordResetLinkController.php", "PHP", 0, -33, -11, -8, -52
"c:\laragon\www\dubss_mesa_taller\app\Http\Controllers\Auth\RegisteredUserController.php", "PHP", 0, -58, -8, -10, -76
"c:\laragon\www\dubss_mesa_taller\app\Http\Controllers\Auth\VerifyEmailController.php", "PHP", 0, -19, -3, -6, -28
"c:\laragon\www\dubss_mesa_taller\app\Http\Controllers\Controller.php", "PHP", 0, -5, -1, -3, -9
"c:\laragon\www\dubss_mesa_taller\app\Http\Controllers\DashboardController.php", "PHP", 0, -538, -25, -39, -602
"c:\laragon\www\dubss_mesa_taller\app\Http\Controllers\FormularioSocioEconomicoController.php", "PHP", 0, -62, -2, -20, -84
"c:\laragon\www\dubss_mesa_taller\app\Http\Controllers\Operador\DocumentoOperadorController.php", "PHP", 0, -111, -35, -22, -168
"c:\laragon\www\dubss_mesa_taller\app\Http\Controllers\Operador\TramiteOperadorController.php", "PHP", 0, -113, -53, -27, -193
"c:\laragon\www\dubss_mesa_taller\app\Http\Controllers\ProfileController.php", "PHP", 0, -41, -9, -14, -64
"c:\laragon\www\dubss_mesa_taller\app\Http\Controllers\TestRoleController.php", "PHP", 0, -19, 0, -5, -24
"c:\laragon\www\dubss_mesa_taller\app\Http\Middleware\HandleInertiaRequests.php", "PHP", 0, -28, -13, -6, -47
"c:\laragon\www\dubss_mesa_taller\app\Http\Requests\Auth\LoginRequest.php", "PHP", 0, -51, -21, -14, -86
"c:\laragon\www\dubss_mesa_taller\app\Http\Requests\ProfileUpdateRequest.php", "PHP", 0, -22, -5, -4, -31
"c:\laragon\www\dubss_mesa_taller\app\Models\Beca.php", "PHP", 0, -33, -27, -11, -71
"c:\laragon\www\dubss_mesa_taller\app\Models\BecaRequisito.php", "PHP", 0, -20, -24, -9, -53
"c:\laragon\www\dubss_mesa_taller\app\Models\Convocatoria.php", "PHP", 0, -27, -24, -10, -61
"c:\laragon\www\dubss_mesa_taller\app\Models\DependenciaEconomica.php", "PHP", 0, -21, -18, -10, -49
"c:\laragon\www\dubss_mesa_taller\app\Models\Documento.php", "PHP", 0, -38, -27, -11, -76
"c:\laragon\www\dubss_mesa_taller\app\Models\EstadoTramite.php", "PHP", 0, -26, -10, -9, -45
"c:\laragon\www\dubss_mesa_taller\app\Models\Estudiante.php", "PHP", 0, -70, -70, -24, -164
"c:\laragon\www\dubss_mesa_taller\app\Models\FormularioSocioEconomico.php", "PHP", 0, -55, -36, -14, -105
"c:\laragon\www\dubss_mesa_taller\app\Models\GrupoFamiliar.php", "PHP", 0, -143, -54, -37, -234
"c:\laragon\www\dubss_mesa_taller\app\Models\LugarProcedencia.php", "PHP", 0, -22, 0, -8, -30
"c:\laragon\www\dubss_mesa_taller\app\Models\MiembroFamiliar.php", "PHP", 0, -24, -21, -9, -54
"c:\laragon\www\dubss_mesa_taller\app\Models\Notificacion.php", "PHP", 0, -33, -24, -10, -67
"c:\laragon\www\dubss_mesa_taller\app\Models\PersonalAdministrativo.php", "PHP", 0, -48, -55, -19, -122
"c:\laragon\www\dubss_mesa_taller\app\Models\Postulacion.php", "PHP", 0, -50, -36, -14, -100
"c:\laragon\www\dubss_mesa_taller\app\Models\RangoIngresoEconomico.php", "PHP", 0, -18, -18, -9, -45
"c:\laragon\www\dubss_mesa_taller\app\Models\Requisito.php", "PHP", 0, -19, -21, -10, -50
"c:\laragon\www\dubss_mesa_taller\app\Models\Residencia.php", "PHP", 0, -34, -21, -9, -64
"c:\laragon\www\dubss_mesa_taller\app\Models\RespuestaFormulario.php", "PHP", 0, -101, -33, -28, -162
"c:\laragon\www\dubss_mesa_taller\app\Models\TenenciaVivienda.php", "PHP", 0, -28, -24, -10, -62
"c:\laragon\www\dubss_mesa_taller\app\Models\TipoDependenciaEconomica.php", "PHP", 0, -18, 0, -7, -25
"c:\laragon\www\dubss_mesa_taller\app\Models\TipoOcupacionDependiente.php", "PHP", 0, -22, -18, -11, -51
"c:\laragon\www\dubss_mesa_taller\app\Models\TipoTenenciaVivienda.php", "PHP", 0, -19, -18, -10, -47
"c:\laragon\www\dubss_mesa_taller\app\Models\Tramite.php", "PHP", 0, -41, -33, -13, -87
"c:\laragon\www\dubss_mesa_taller\app\Models\TramiteHistorial.php", "PHP", 0, -30, -10, -9, -49
"c:\laragon\www\dubss_mesa_taller\app\Models\User copy.php", "PHP", 0, -26, -17, -7, -50
"c:\laragon\www\dubss_mesa_taller\app\Models\User.php", "PHP", 0, -83, -64, -23, -170
"c:\laragon\www\dubss_mesa_taller\app\Providers\AppServiceProvider.php", "PHP", 0, -14, -7, -5, -26
"c:\laragon\www\dubss_mesa_taller\app\Services\BecaService.php", "PHP", 0, -210, -35, -55, -300
"c:\laragon\www\dubss_mesa_taller\app\Services\ConvocatoriaService.php", "PHP", 0, -267, -39, -61, -367
"c:\laragon\www\dubss_mesa_taller\app\Services\DocumentoOperadorService..php", "PHP", 0, -222, -35, -45, -302
"c:\laragon\www\dubss_mesa_taller\app\Services\ExportService.php", "PHP", 0, -271, -45, -66, -382
"c:\laragon\www\dubss_mesa_taller\app\Services\FormularioSocioEconomicoService.php", "PHP", 0, -123, -21, -24, -168
"c:\laragon\www\dubss_mesa_taller\app\Services\RequisitoService.php", "PHP", 0, -137, -28, -35, -200
"c:\laragon\www\dubss_mesa_taller\app\Services\ResultadosService.php", "PHP", 0, -220, -37, -38, -295
"c:\laragon\www\dubss_mesa_taller\app\Services\TramiteOperadorService.php", "PHP", 0, -299, -36, -37, -372
"c:\laragon\www\dubss_mesa_taller\resources\js\Pages\Admin\Becas\Create.vue", "Vue", 197, 0, 9, 17, 223
"c:\laragon\www\dubss_mesa_taller\resources\js\Pages\Admin\Becas\Index.vue", "Vue", 176, 0, 0, 11, 187
"c:\laragon\www\dubss_mesa_taller\resources\js\Pages\Admin\Convocatorias\Create.vue", "Vue", 163, 0, 6, 13, 182
"c:\laragon\www\dubss_mesa_taller\resources\js\Pages\Admin\Convocatorias\Index.vue", "Vue", 190, 0, 1, 14, 205
"c:\laragon\www\dubss_mesa_taller\resources\js\Pages\Admin\Convocatorias\Show.vue", "Vue", 146, 0, 3, 10, 159
"c:\laragon\www\dubss_mesa_taller\resources\js\Pages\Admin\LugarProcedencia\Create.vue", "Vue", 204, 0, 8, 11, 223
"c:\laragon\www\dubss_mesa_taller\resources\js\Pages\Admin\LugarProcedencia\Index.vue", "Vue", 278, 0, 8, 13, 299
"c:\laragon\www\dubss_mesa_taller\resources\js\Pages\Admin\RangoIngresoEconomico\Create.vue", "Vue", 107, 0, 6, 9, 122
"c:\laragon\www\dubss_mesa_taller\resources\js\Pages\Admin\RangoIngresoEconomico\Index.vue", "Vue", 150, 0, 4, 7, 161
"c:\laragon\www\dubss_mesa_taller\resources\js\Pages\Admin\Requisitos\Create.vue", "Vue", 143, 0, 6, 12, 161
"c:\laragon\www\dubss_mesa_taller\resources\js\Pages\Admin\Requisitos\Index.vue", "Vue", 188, 0, 6, 15, 209
"c:\laragon\www\dubss_mesa_taller\resources\js\Pages\Admin\Resultados\Dashboard.vue", "Vue", 365, 0, 12, 27, 404
"c:\laragon\www\dubss_mesa_taller\resources\js\Pages\Admin\Resultados\RankingBeca.vue", "Vue", 408, 0, 6, 22, 436
"c:\laragon\www\dubss_mesa_taller\resources\js\Pages\Admin\TipoDependenciaEconomica\Create.vue", "Vue", 178, 0, 7, 10, 195
"c:\laragon\www\dubss_mesa_taller\resources\js\Pages\Admin\TipoDependenciaEconomica\Index.vue", "Vue", 190, 0, 5, 8, 203
"c:\laragon\www\dubss_mesa_taller\resources\js\Pages\Admin\TipoOcupacionDependiente\Create.vue", "Vue", 215, 0, 8, 11, 234
"c:\laragon\www\dubss_mesa_taller\resources\js\Pages\Admin\TipoOcupacionDependiente\Index.vue", "Vue", 236, 0, 5, 8, 249
"c:\laragon\www\dubss_mesa_taller\resources\js\Pages\Admin\TipoTenenciaVivienda\Create.vue", "Vue", 117, 0, 5, 9, 131
"c:\laragon\www\dubss_mesa_taller\resources\js\Pages\Admin\TipoTenenciaVivienda\Index.vue", "Vue", 177, 0, 8, 9, 194
"c:\laragon\www\dubss_mesa_taller\resources\js\Pages\Auth\ConfirmPassword.vue", "Vue", 49, 0, 0, 7, 56
"c:\laragon\www\dubss_mesa_taller\resources\js\Pages\Auth\ForgotPassword.vue", "Vue", 58, 0, 0, 11, 69
"c:\laragon\www\dubss_mesa_taller\resources\js\Pages\Auth\Login.vue", "Vue", 86, 0, 0, 15, 101
"c:\laragon\www\dubss_mesa_taller\resources\js\Pages\Auth\Register.vue", "Vue", 204, 0, 19, 23, 246
"c:\laragon\www\dubss_mesa_taller\resources\js\Pages\Auth\ResetPassword.vue", "Vue", 87, 0, 0, 15, 102
"c:\laragon\www\dubss_mesa_taller\resources\js\Pages\Auth\VerifyEmail.vue", "Vue", 52, 0, 0, 10, 62
"c:\laragon\www\dubss_mesa_taller\resources\js\Pages\Dashboard.vue", "Vue", 21, 0, 0, 4, 25
"c:\laragon\www\dubss_mesa_taller\resources\js\Pages\Dashboard\Index.vue", "Vue", 219, 0, 12, 18, 249
"c:\laragon\www\dubss_mesa_taller\resources\js\Pages\FormularioSocioeconomico\Create.vue", "Vue", 921, 0, 20, 54, 995
"c:\laragon\www\dubss_mesa_taller\resources\js\Pages\Operador\BuscarTramite.vue", "Vue", 152, 0, 4, 11, 167
